"Title","word","lemma"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","palestinian","palestinian"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","president","president"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","mahmud","mahmud"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","abbas","abbas"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","event","event"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","thursday","thursday"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","commemorating","commemorate"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","nakba","nakba"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","urged","urge"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","action","action"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","war","war"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","gaza","gaza"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","linking","link"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","historical","historical"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","displacement","displacement"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","creation","creation"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","current","current"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","conflict","conflict"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","united","unite"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","nations","nation"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","commemorated","commemorate"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","nakba","nakba"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","catastrophe","catastrophe"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","arabic","arabic"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","refers","refer"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","flight","flight"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","expulsion","expulsion"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","estimated","estimate"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","palestinians","palestinian"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","creation","creation"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","israel","israel"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","anniversary","anniversary"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","painful","painful"
"At UN ‘Nakba’ commemoration, Abbas urges action on Gaza | Prothom Alo","palestinians","palestinian"
