"Title","Paragraph"
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","The Israeli military said Saturday it had launched ""extensive strikes"" as part of a fresh offensive in Gaza, after rescuers reported 100 people killed in the besieged Palestinian territory."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","The army said on Telegram it had begun the ""initial stages"" of the offensive, known as Operation Gideon's Chariots."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","The operation was part of ""the expansion of the battle in the Gaza Strip, with the goal of achieving all the war's objectives, including the release of the abducted and the defeat of Hamas"", it said in a post in Arabic."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","A separate statement in English said the army was ""mobilizing troops to achieve operational control in areas of the Gaza Strip""."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","Gaza's civil defence agency said Israeli strikes on Gaza had killed 100 people on Friday, while the army said its forces had ""struck over 150 terror targets throughout the Gaza Strip"" in 24 hours."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","Israel resumed its military offensive in Gaza on 18 March after a two-month truce in its war against Hamas, which was triggered by an attack by the Palestinian group in October 2023."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","The latest operation comes as Prime Minister Benjamin Netanyahu faces increasing pressure to lift a sweeping aid blockade on Gaza, as NGOs warn of critical shortages of food, clean water, fuel and medicines."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","The return to fighting since 18 March has drawn international condemnation, with the UN's rights chief on Friday denouncing the renewed attacks -- and what he described as an apparent push to permanently displace the population. "
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","""This latest barrage of bombs... and the denial of humanitarian assistance underline that there appears to be a push for a permanent demographic shift in Gaza that is in defiance of international law and is tantamount to ethnic cleansing,"" Volker Turk said in a statement."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","The main Israeli campaign group representing the families of hostages said that by extending the fighting, Netanyahu was missing a ""historic opportunity"" to get their loved ones out through diplomacy."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","Hamas on Friday demanded the United States press Israel to lift the aid blockade in return for a US-Israeli hostage released by the group."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","Edan Alexander, the last living hostage with US nationality, was freed last week after direct engagement with the Trump administration that left Israel sidelined."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","As part of the understanding with Washington regarding Alexander's release, senior Hamas official Taher al-Nunu said the group was ""awaiting and expecting the US administration to exert further pressure"" on Israel ""to open the crossings and allow the immediate entry of humanitarian aid""."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","Israel says its decision to cut off aid to Gaza was intended to force concessions from Hamas, which still holds dozens of Israeli hostages seized during the 7 October, 2023 attack that sparked the war."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","US President Donald Trump acknowledged on Friday that ""a lot of people are starving"" in the besieged Palestinian territory."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","""We're looking at Gaza. And we're going to get that taken care of,"" Trump told reporters in Abu Dhabi, on a regional tour that excluded key ally Israel."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","The Arab League is to meet in Baghdad on Saturday to discuss regional crises, with Gaza expected to be high on the agenda."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","United Nations chief Antonio Guterres will attend the summit, and Spanish Prime Minister Pedro Sanchez -- who has sharply criticised Israel's offensive in Gaza -- is expected to address it as a guest."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","The Hamas attack of 7 October, 2023 resulted in the deaths of 1,218 people on the Israeli side, mostly civilians, according to an AFP tally based on official figures."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","Of the 251 hostages taken during the attack, 57 remain in Gaza, including 34 the military says are dead."
"Gaza rescuers say 100 dead in fresh Israeli offensive | Prothom Alo","The health ministry in the Hamas-run territory said 2,985 people have been killed since Israel resumed strikes on 18 March, taking the war's overall toll to 53,119."
"Israel launches new Gaza operation as death toll crosses 53,000 | Prothom Alo","The Israeli military said Saturday it had launched ""extensive strikes"" in the Gaza Strip over the past day as part of the ""initial stages"" of a fresh offensive on the besieged Palestinian territory."
"Israel launches new Gaza operation as death toll crosses 53,000 | Prothom Alo","The strikes were part of ""the expansion of the battle in the Gaza Strip, with the goal of achieving all the war's objectives, including the release of the abducted and the defeat of Hamas"", Israel's army said in a statement in Arabic on Telegram."
"Israel launches new Gaza operation as death toll crosses 53,000 | Prothom Alo","Gaza's civil defence agency earlier said Israeli strikes on Gaza had killed 100 people on Friday."
"Israel launches new Gaza operation as death toll crosses 53,000 | Prothom Alo","The offensive, known as ""Operation Gideon's Chariots"", comes as Israel faces pressure to lift a sweeping aid blockade in return for a US-Israeli hostage released by Hamas."
"Israel launches new Gaza operation as death toll crosses 53,000 | Prothom Alo","Israel resumed its military offensive in Gaza on 18 March after a two-month truce in its war against Hamas, which was triggered by an attack by the Palestinian group in October 2023."
"Israel launches new Gaza operation as death toll crosses 53,000 | Prothom Alo","That assault resulted in the deaths of 1,218 people on the Israeli side, mostly civilians, according to an AFP tally based on official figures."
"Israel launches new Gaza operation as death toll crosses 53,000 | Prothom Alo","Of the 251 hostages taken during the attack, 57 remain in Gaza, including 34 the military says are dead."
"Israel launches new Gaza operation as death toll crosses 53,000 | Prothom Alo","The health ministry in the Hamas-run territory said 2,985 people have been killed since Israel resumed strikes on March 18, taking the war's overall toll to 53,119."
"Israel launches new Gaza operation as death toll crosses 53,000 | Prothom Alo","Israeli media reported on Friday that the military had stepped up its offensive in line with a plan approved by the government earlier this month, though there had not been any formal announcement of an expanded campaign."
"Israel launches new Gaza operation as death toll crosses 53,000 | Prothom Alo","The military said its forces had ""struck over 150 terror targets throughout the Gaza Strip"" in 24 hours."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Israel launched an intensified offensive in Gaza on Saturday aimed at ""the defeat of Hamas"", with rescuers in the Palestinian territory reporting at least 32 killed by new Israeli strikes."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","The stepped-up campaign came amid growing international concern over worsening humanitarian conditions in Gaza as an Israeli aid blockade wore on, and as a new round of indirect negotiations between Hamas and Israel got underway in Doha."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Israel's military said the operation marked ""the expansion of the battle in the Gaza Strip, with the goal of achieving all the war's objectives, including the release of the abducted and the defeat of Hamas""."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","UN chief Antonio Guterres, addressing an Arab League summit in Baghdad, said he was ""alarmed"" at the escalation and called for ""a permanent ceasefire, now""."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","The summit's final statement urged the international community ""to exert pressure to end the bloodshed"" and let in aid."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Gaza's civil defence agency said at least 32 deaths had been recorded Saturday, more than half of them women and children."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Spokesman Mahmud Bassal told AFP some people were still buried under rubble after the strikes, and that there were also reports of deaths and injuries elsewhere but rescuers were unable to reach the areas due to ongoing shelling."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","In Deir el-Balah, displaced Gazans sifted through belongings, some stained with blood, for whatever could be salvaged after overnight strikes hit their tents."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","""We woke up at half past two in the morning to the sound of a loud explosion that shook the entire area,"" said Umm Fadi Quzaat."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","""There was blood and body parts everywhere."""
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Italy urged Israel to stop the strikes, while Germany said it was ""deeply concerned"". European Council President Antonio Costa said he was ""shocked by the news from Gaza""."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Israel resumed its operations in the territory on March 18, ending a two-month truce in the war."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Thousands protested in London on Saturday against the war."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","""The situation in Gaza is worsening and worsening,"" said one demonstrator, who gave his name as Laurens, adding that ""more organisations and agencies are talking about genocidal violence""."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","While the Eurovision Song Contest final took place in Basel, Switzerland, pro-Palestinian protesters in the city upset at Israel's participation clashed with police just before the country's entrant took the stage."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Israel's Yuval Raphael, singing ""New Day Will Rise"", survived the 7 October, 2023 Hamas attack that sparked the Gaza war."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","In Tel Aviv, crowds of supporters and family members of Israeli hostages in Gaza turned out for a protest demanding a deal for the captives' return."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Levy Ben Baruch -- the uncle of Israeli-American hostage Edan Alexander, who was recently released after direct talks between Hamas and the United States -- said his nephew's freedom offered a lesson for Israel's leaders."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","""Edan's return is a miracle -- but also a reminder... that war is not needed to return (the hostages)! That we can talk. That we can bring everyone back,"" he said in a statement released by the main organisation representing hostages' families."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Senior Hamas official Taher al-Nunu said Saturday that new talks on ending the war had begun in Doha ""without any preconditions from either side""."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Previous negotiations failed to secure a breakthrough, but the talks have been ongoing."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","The Israeli defence minister, Israel Katz, said the renewed offensive had brought Hamas back to the table."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Both sides have insisted on certain conditions in past talks, with Hamas saying disarmament was a red line and Israeli Prime Minister Benjamin Netanyahu unwilling to agree to a deal that would leave the group intact."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Netanyahu's Likud party said he had been ""in continuous contact throughout the day with the negotiating team"", as well as with US Middle East envoy Steve Witkoff, and had ordered the negotiators ""to remain in Doha for the time being""."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","US Secretary of State Marco Rubio also spoke by phone with Netanyahu on Saturday about ""the situation in Gaza and their joint efforts to secure the release of all remaining hostages"", a spokeswoman said."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Israel's far-right National Security Minister Itamar Ben Gvir, however, argued against a deal, saying ""now is not the time to pull back"", but rather to go in ""with full force and finish the job -- conquer, seize the territory, crush the enemy, and free our hostages""."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Israel has faced increasing pressure to lift its aid blockade, as UN agencies warn of critical shortages of food, clean water, fuel and medicines."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Marwan Sultan, director of the Indonesian Hospital in northern Gaza, said the situation was ""catastrophic after its surroundings were targeted again this morning""."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","The hospital was ""unable to receive any more critical cases"" amid ""a severe shortage"" of blood units, medicine and supplies, he said."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Hamas's October 2023 attack resulted in the deaths of 1,218 people on the Israeli side, mostly civilians, according to an AFP tally based on official figures."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","Of the 251 hostages taken during the attack, 57 remain in Gaza, including 34 the military says are dead."
"At least 32 killed as Israel launches expanded Gaza offensive | Prothom Alo","The health ministry in the Hamas-run territory said 3,131 people have been killed since Israel resumed strikes on March 18, taking the war's overall toll to 53,272."
"Gaza strikes kill 120 as Hamas says aid entry 'minimum requirement' for talks | Prothom Alo","Palestinian rescuers reported 120 people killed on Thursday in Israeli strikes on blockaded Gaza, where a US-backed organisation said it intends to begin distributing aid by the end of the month."
"Gaza strikes kill 120 as Hamas says aid entry 'minimum requirement' for talks | Prothom Alo","Aid to Gaza has been cut off since 2 March, a tactic Israel has said is intended to force concessions from Hamas, but the group insisted on Thursday that the restoration of humanitarian assistance to the war-ravaged territory was ""the minimum requirement"" for talks."
"Gaza strikes kill 120 as Hamas says aid entry 'minimum requirement' for talks | Prothom Alo","It also warned that Gaza was not ""for sale"" hours after US President Donald Trump, on a visit to the region, again floated taking over the territory and turning it into ""a freedom zone""."
"Gaza strikes kill 120 as Hamas says aid entry 'minimum requirement' for talks | Prothom Alo","Gaza's civil defence agency said the death toll from Israeli bombardment since dawn on Thursday had risen to 120."
"Gaza strikes kill 120 as Hamas says aid entry 'minimum requirement' for talks | Prothom Alo","Israel's aid blockade preceded a resumption of military operations on 18 March, ending a ceasefire that had largely halted hostilities since mid-January."
"Gaza strikes kill 120 as Hamas says aid entry 'minimum requirement' for talks | Prothom Alo","For weeks, UN agencies have warned that supplies of everything from food and clean water to fuel and medicines are reaching new lows."
"Gaza strikes kill 120 as Hamas says aid entry 'minimum requirement' for talks | Prothom Alo","The World Health Organization said the last hospital in Gaza providing cancer and cardiac care had stopped functioning after an Israeli attack on Tuesday left it ""severely damaged and inaccessible""."
